DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
01-01-20,2,-1,4.4,0,251,10.8,24.1,1032.9
01-02-20,0.3,-2.7,5.3,0,218,10,24.1,1027.1
01-03-20,3.8,0.2,6.2,4.1,220,18,38.9,1017.8
01-04-20,4.2,2.3,5.4,4.4,280,23.7,59.3,1019.5
01-05-20,1.8,-0.3,3.5,0,260,13.2,40.8,1031.9
01-06-20,3.7,2.4,5.5,0,217,12.1,25.9,1027.5
01-07-20,2.3,-0.1,4.6,0,220,11.4,25.9,1023.8
01-08-20,5.8,3.1,8.3,3.5,215,17,35.2,1022.4
01-09-20,8.5,7.1,9.7,9.5,203,14.1,31.5,1016.6
01-10-20,9.4,7.4,11,5.6,238,17.5,38.9,1013.8
01-11-20,5.5,2.7,7.2,0.1,259,16.1,40.8,1028.3
01-12-20,3.8,1.3,6.2,0,215,19.4,42.6,1020.9
01-13-20,5.9,4,7.5,0,220,15.1,42.6,1019
01-14-20,7.2,3.6,10.2,0,188,20.9,44.5,1011.3
01-15-20,10.2,8.7,13.4,0,202,21.2,42.6,1013.8
01-16-20,7.2,4.5,9.8,0,210,12.3,33.3,1026.1
01-17-20,5.1,2.9,8.7,0,156,15.2,33.3,1020.6
01-18-20,5.2,3.4,7.1,0.4,238,14,35.2,1021.5
01-19-20,3.6,2.3,4.9,0.1,274,9.8,22.2,1032.7
01-20-20,2.2,0.4,3.9,0,258,10,24.1,1044.8
01-21-20,2.6,0.3,6.2,0,248,14.9,31.5,1039.5
01-22-20,3.7,1.8,5.6,0.5,279,16.1,37,1032.1
01-23-20,3.1,1.5,4.8,0,243,9.4,20.4,1032.5
01-24-20,1.3,-0.4,4.1,0,230,9.7,22.2,1023.3
01-25-20,1.8,0.8,3.2,0,236,10.6,22.2,1021.5
01-26-20,1.1,-0.5,3,0,197,9.4,18.5,1018.9
01-27-20,4.1,1.1,7.1,1.3,192,14.9,35.2,1010.6
01-28-20,6,4.1,7.9,8,208,21,50,994.6
01-29-20,4.6,3.8,5.8,3.3,256,24.2,53.7,1000.1
01-30-20,5.7,4,7.6,6.2,236,21.2,50,1006.1
01-31-20,9.7,6.9,11.4,2,256,22.4,51.8,1002.3
02-01-20,10.8,9.4,12.3,8.2,236,18.8,48.2,1001.8
02-02-20,7.9,5.7,9,4.7,261,19.6,50,1004.6
02-03-20,6.9,5.4,8.8,6,265,15.2,38.9,1006.5
02-04-20,5.5,4.1,6.7,4.1,292,20,50,1005.2
02-05-20,3.4,1.1,5.3,1.1,312,18.6,55.5,1027.1
02-06-20,4.2,1.4,6.4,0,274,17.7,38.9,1027.8
02-07-20,5.3,4.1,6.6,0,265,8.8,29.6,1029.2
02-08-20,4.7,2,8.9,0,169,13.8,29.6,1023.7
02-09-20,8,3.8,12.3,1,196,24.1,72.2,1010.1
02-10-20,8.9,5.2,11.4,7.4,245,30.9,77.8,989.6
02-11-20,5.4,4.2,7.1,2.1,257,29.5,72.2,994.2
02-12-20,4.5,3.3,6.9,0.1,257,28.6,68.5,1005.5
02-13-20,4.2,1.9,7.1,1.6,199,18.4,46.3,1009.8
02-14-20,4.6,3.2,6.5,0.7,260,9.4,25.9,1014.2
02-15-20,6.1,3,10.1,0,189,15.9,37,1020.9
02-16-20,11.2,6.7,14.4,1.3,200,26.6,57.4,1007.8
02-17-20,10.1,7.3,12.8,0.5,234,22.7,63,1010.3
02-18-20,7.1,5.7,8.9,1.6,245,22.4,61.1,1016.1
02-19-20,5.4,4.6,6.8,4,244,21,46.3,1013.3
02-20-20,5.2,2.2,7.2,1.2,211,17.6,40.8,1016.5
02-21-20,6.4,4.9,8.1,4.1,256,23.1,55.5,1017.3
02-22-20,8.3,6,11,1.6,234,26.3,64.8,1015.6
02-23-20,7.4,5.3,8.9,15.7,268,23.3,66.7,1008.5
02-24-20,5.8,4.3,7.8,6.6,247,21.3,63,1013.6
02-25-20,8.2,4.8,10.6,2,241,20.2,48.2,996.2
02-26-20,3.7,2.5,4.9,4.3,248,13.2,31.5,993.5
02-27-20,3,1.4,5.3,1.1,252,12.6,35.2,1001.1
02-28-20,3.5,0.8,7.3,0.8,271,15.5,46.3,1009.8
02-29-20,6.5,2.3,11.4,7.4,187,20.3,42.6,998.8
03-01-20,7.4,5,10.2,1,210,19.2,51.8,996.6
03-02-20,6.1,4.4,9.4,1.6,176,11.7,29.6,993.8
03-03-20,4.4,3.2,6.1,3.8,343,13.2,33.3,998
03-04-20,4,1,7.5,1.4,243,12.2,31.5,1009.2
03-05-20,5.2,0.6,10,0,158,14.4,35.2,1003.8
03-06-20,5.5,4.1,7.3,7.6,124,15.1,37,992.8
03-07-20,4.7,3,7.1,2.9,293,19,50,1010
03-08-20,5.9,1.2,11,0,197,14.7,35.2,1015.8
03-09-20,7.3,5.2,9.9,3,226,11.7,25.9,1010.6
03-10-20,6.3,3.4,9.5,11.3,209,20.1,50,1005.9
03-11-20,10.1,8.2,12.6,3.6,260,21.1,51.8,1006.6
03-12-20,10,5.6,12.2,2.9,247,26.2,79.6,1005.5
03-13-20,6,4.1,8.2,2.4,255,25.4,77.8,1010.1
03-14-20,3.7,0,8.1,0,298,9.9,38.9,1023.5
03-15-20,5.5,-1,12.4,0,163,20,46.3,1020.3
03-16-20,9.2,3.4,16,0,221,12.6,29.6,1018.5
03-17-20,9.2,4.8,14.5,0,267,9.3,31.5,1026.6
03-18-20,11.1,5.6,16.8,0,233,14.4,38.9,1025.4
03-19-20,10.3,7.3,13.1,0,293,10.9,27.8,1024.7
03-20-20,7,5.6,8.5,1.6,35,11.3,27.8,1025.7
03-21-20,4.3,1.7,6.5,0,46,18.6,44.5,1030.6
03-22-20,1.6,-1.7,5.4,0,65,15.8,38.9,1036.6
03-23-20,0.9,-4,5.8,0,93,12.3,29.6,1039.5
03-24-20,1.7,-3.7,7.4,0,116,13,31.5,1037.4
03-25-20,2.9,-2.6,8.4,0,102,16.9,40.8,1033.1
03-26-20,4.7,-1.4,10.4,0,92,17.4,40.8,1028
03-27-20,9,3.2,15.6,0,69,14,29.6,1023.6
03-28-20,8.2,3.3,13.7,0,347,13.6,35.2,1019.6
03-29-20,3.3,0.2,5.5,2.4,354,19.2,53.7,1022.3
03-30-20,0.4,-3,3.1,2.1,296,12.4,37,1027.2
03-31-20,1.4,-1.1,3.7,0,358,10.1,25.9,1029.4
04-01-20,3.2,-2,8.1,0,247,14.1,35.2,1021
04-02-20,6.1,2.3,9.7,0,253,16.5,38.9,1011.2
04-03-20,6.6,4.3,9.2,0,274,19.8,46.3,1010.9
04-04-20,6.5,2.8,11.5,0,265,8.2,24.1,1024.5
04-05-20,9,1.8,16.5,0,127,15.3,37,1029.4
04-06-20,12.6,4.9,21,0,148,16.7,40.8,1024.2
04-07-20,13.1,7.8,18.7,0,300,12.1,31.5,1029.2
04-08-20,13.7,5.9,22.4,0,124,10,24.1,1028
04-09-20,12.7,8.4,17,0,305,12.8,35.2,1022.7
04-10-20,9.9,4.7,14.9,0,325,9.3,27.8,1026.2
04-11-20,8.5,2.7,14.8,0,28,7.1,20.4,1026.3
04-12-20,13.6,4.5,23,0,201,11.1,33.3,1016.2
04-13-20,8.5,4.6,13.1,0.8,313,18.9,50,1013.8
04-14-20,5.5,1.1,9.2,0,300,17,40.8,1020.7
04-15-20,8.8,4.4,14.5,0,274,18.5,46.3,1021.5
04-16-20,11.5,5.3,17.2,0,287,13.8,35.2,1017
04-17-20,11.3,6.3,16.1,0,20,9.4,24.1,1017.5
04-18-20,10.8,4.6,16.8,0,67,13.5,35.2,1018.4
04-19-20,9.2,5,13.2,0,61,19.3,42.6,1022
04-20-20,9.4,3.3,15.1,0,74,18.1,42.6,1026.1
04-21-20,11,5,16.8,0,80,20.3,48.2,1026.1
04-22-20,12.5,5.9,18.8,0,78,16.2,37,1026.1
04-23-20,14.2,6.6,21.3,0,96,9.2,25.9,1022.9
04-24-20,14.6,7.8,21,0,252,14.2,46.3,1009.5
04-25-20,10.7,7.8,14,0,321,15.8,44.5,1009.5
04-26-20,11.7,6.2,17.1,0,272,7.9,25.9,1011
04-27-20,13.8,5.4,21.8,0,187,8.5,31.5,1008.5
04-28-20,16.3,9.8,22.4,0.4,267,10.4,31.5,1004.1
04-29-20,12.6,10.5,15.6,4.3,326,9.2,31.5,1004.5
04-30-20,13.1,8.9,17.3,2.2,189,12.4,37,1004.7
05-01-20,13.1,10,16.5,1.4,220,14.1,37,1002.2
05-02-20,10.7,8.2,14,2,248,13.4,38.9,1004.8
05-03-20,10.4,7,14.3,0,280,14.9,37,1014.4
05-04-20,9.4,6.8,11.8,3.3,286,9.5,25.9,1017
05-05-20,7.6,3.8,10.6,0.8,317,15.4,46.3,1018.8
05-06-20,9.9,4.1,15,0,309,16.1,40.8,1021.7
05-07-20,10.4,6,15.6,0,292,15.1,35.2,1021.8
05-08-20,13.4,6.3,19.8,0,286,9.9,33.3,1018.4
05-09-20,15.4,7.4,22.1,0,80,7.3,22.2,1015.4
05-10-20,17.6,10.6,24.1,0.7,133,10.7,25.9,1006.7
05-11-20,8.3,3.7,14.8,5.8,348,18.9,44.5,1006.9
05-12-20,6.3,0.6,9.9,0,278,15.4,38.9,1015.2
05-13-20,8.9,4.6,12.7,0,255,10.3,27.8,1012.7
05-14-20,9,5.5,12.2,0,354,11.9,33.3,1016.3
05-15-20,9.2,2.5,14,0,324,11,37,1018.7
05-16-20,10.3,5.5,14,0,269,15.7,40.8,1020.5
05-17-20,12.3,8,16.6,0,274,15,38.9,1020.3
05-18-20,14.7,9.6,20,0,267,14,38.9,1020.4
05-19-20,14.1,10.9,17.4,0,294,13.6,37,1019.4
05-20-20,14.1,8.2,19,0,347,10.7,31.5,1022
05-21-20,14.3,7.2,20.3,0,83,9.4,25.9,1023.8
05-22-20,16.3,9.2,22.2,0.9,138,15.7,37,1021.3
05-23-20,15.3,11.9,18.1,6.5,251,14.4,38.9,1019.1
05-24-20,12.5,9.1,15,2.5,263,16.1,44.5,1023.3
05-25-20,11.8,9.3,14.4,1.2,302,16.9,37,1026.7
05-26-20,13.9,7.7,19.3,0,0,10.4,27.8,1033.5
05-27-20,15.4,7.6,21.2,0,332,8.8,27.8,1032.1
05-28-20,14.2,10,17.7,1.8,352,15.4,38.9,1029.7
05-29-20,14.1,7.4,18.7,0,29,11.8,29.6,1028.8
05-30-20,13.5,8.7,16.9,0,28,16.3,44.5,1025.2
05-31-20,14.7,9.8,20.1,0,10,17.9,44.5,1022.1
06-01-20,16.6,9,23.4,0,38,15.4,40.8,1023.6
06-02-20,18.6,10.9,24.6,0,349,12.4,35.2,1018.2
06-03-20,18.4,12.2,23.8,0,71,9.8,25.9,1007.1
06-04-20,17.6,12.8,23.1,4.6,135,14.6,37,996.2
06-05-20,14.4,12.6,16.8,4.6,242,14.7,35.2,994.9
06-06-20,13.5,9.2,17,0.9,220,18.1,46.3,1000.9
06-07-20,14.5,10.3,17.8,0,191,10.7,27.8,1006.9
06-08-20,15.1,9.2,20,0,310,9,24.1,1012.9
06-09-20,16.8,10.5,21.3,0,43,10.4,27.8,1016
06-10-20,16.6,12.6,20.3,0,31,13.7,33.3,1014.4
06-11-20,17.2,15,20.3,8,25,10.4,25.9,1010.6
06-12-20,20.3,14.3,25.3,0,64,11.1,29.6,1011.1
06-13-20,22.3,18.9,25.2,5.2,63,13,33.3,1010.9
06-14-20,21.9,19,25.1,0,73,15.9,33.3,1011.5
06-15-20,19.9,14.2,24.5,0,50,11.4,25.9,1014.1
06-16-20,20.1,13.9,25.7,0,350,7.6,22.2,1014.3
06-17-20,21.9,14.8,27.6,0,51,9.2,27.8,1011.6
06-18-20,21.3,18.5,24.4,1.2,34,10.8,27.8,1009.5
06-19-20,17.4,15.9,19.2,10,300,12.7,31.5,1011.8
06-20-20,16.4,15.4,17.8,11.5,301,17.8,40.8,1016.1
06-21-20,17.1,14.5,20.8,4.9,314,15.4,35.2,1018
06-22-20,19,12.7,24,0,310,13.7,40.8,1020.6
06-23-20,18.4,12,24,0,337,12.1,33.3,1024.5
06-24-20,19.4,12.8,24.1,0,24,11.4,31.5,1024.7
06-25-20,22.6,18.5,27.4,0.3,84,15.6,37,1021.4
06-26-20,21.9,17.1,25.7,1.1,103,12.1,31.5,1016.6
06-27-20,23.7,17.2,29.8,0,184,9.6,29.6,1010.3
06-28-20,22.6,18.7,26.4,1,250,13.2,37,1011.8
06-29-20,19.2,15.8,22.1,0,258,9.8,31.5,1011.7
06-30-20,18.1,13.8,21.7,0,250,18,50,1008.4
07-01-20,18.9,16.8,22,8,228,14.1,35.2,1006.9
07-02-20,19.7,16.1,23.5,1.9,261,12.4,31.5,1009
07-03-20,18.7,15.2,22.7,2.1,276,13.8,35.2,1014
07-04-20,19.7,15,24.2,1.3,232,15.6,42.6,1014.6
07-05-20,21.3,17.9,25.3,0.2,235,18.1,50,1009.9
07-06-20,18,14.9,19.9,0,263,21.1,59.3,1010.3
07-07-20,15.4,11.5,19.3,0.4,274,15.9,35.2,1017
07-08-20,14.8,12.4,17.3,2.9,265,12.9,31.5,1015.1
07-09-20,15.6,13.3,18,8.1,207,10.4,29.6,1013.7
07-10-20,17.6,13.8,21,6.3,238,14.2,53.7,1009.6
07-11-20,15,10.6,19.3,0,292,13.5,33.3,1021.1
07-12-20,15.1,9.8,19.7,0,304,12,31.5,1026.1
07-13-20,16.8,9.9,22.9,0,268,7.8,24.1,1023.9
07-14-20,19.9,11.8,26.8,0,174,10.4,27.8,1015.2
07-15-20,16.1,14.4,18.4,9.4,319,10,22.2,1011.9
07-16-20,15.4,12.3,18.6,0,308,10.9,29.6,1015
07-17-20,16.4,11.2,20.5,0,312,10.6,27.8,1018.3
07-18-20,19.8,13.5,25.6,0,18,6.5,16.7,1019.5
07-19-20,21.9,15.5,28.3,0.7,139,6.2,22.2,1016
07-20-20,19.4,15.3,22.4,2.4,284,11.6,38.9,1015.5
07-21-20,16.5,12,20.6,0,309,11.7,35.2,1021.1
07-22-20,15.9,10.9,20.1,0,299,11,29.6,1021.8
07-23-20,17.2,13,21.9,0,309,7.5,24.1,1017.1
07-24-20,19.2,12.9,25,0,232,13.5,40.8,1010.6
07-25-20,19.4,14.1,24.3,0,250,8.7,24.1,1011.9
07-26-20,19.4,16.3,22.2,3,203,11.8,33.3,1010.3
07-27-20,19.7,13.8,24.9,0,195,7.8,25.9,1015.8
07-28-20,21.4,17.6,25.4,0,242,15.9,42.6,1009.2
07-29-20,18.1,14.1,22.2,0,277,15.7,46.3,1016.5
07-30-20,16.8,11.2,22.2,0,287,12.1,33.3,1020.1
07-31-20,18.5,12.3,24.8,0,322,10.1,27.8,1018.7
08-01-20,21.3,13.3,28.9,0,105,11.5,25.9,1016.2
08-02-20,21,17.9,25.2,3.5,263,9.6,25.9,1012.1
08-03-20,17.9,15.9,20.8,0,334,11.7,27.8,1011.5
08-04-20,16.9,12.7,20.7,0,339,10.4,27.8,1013.5
08-05-20,19.3,11.4,26.7,0,176,9.6,25.9,1018.1
08-06-20,22,14.2,29.2,0,123,12.5,29.6,1021.2
08-07-20,24.2,17.4,30.7,0,95,10.7,25.9,1021.9
08-08-20,27.1,19.5,34.6,0,116,8.9,22.2,1019.6
08-09-20,26.7,20.3,32.7,0,108,9.3,25.9,1017.7
08-10-20,25.3,21.3,29.7,0,86,10.7,29.6,1017.6
08-11-20,25.4,19.6,31.3,0,75,14.4,33.3,1019.2
08-12-20,24.3,17.9,30.6,0,84,13.5,29.6,1019.3
08-13-20,24.5,17.6,31.2,0,92,11.4,25.9,1014.7
08-14-20,23.6,20.4,27.7,0,110,9.6,25.9,1012.4
08-15-20,23.1,17.3,28.9,0,57,7.1,22.2,1013.6
08-16-20,24.1,18.1,30.5,0,107,13.4,35.2,1014.1
08-17-20,23.6,16.7,30.2,0,105,12.9,31.5,1010.2
08-18-20,19.9,18.2,22,4.1,303,10.8,24.1,1009.2
08-19-20,19.8,16.6,24.2,2.9,317,8.9,24.1,1010.3
08-20-20,22.5,15.7,29.3,0,165,10.3,29.6,1010.3
08-21-20,25.9,18.8,33.6,0,186,12,33.3,1010.7
08-22-20,22.8,18.9,24.8,0,249,12.4,35.2,1012.8
08-23-20,19.7,16,23.5,0,249,15.1,44.5,1013.4
08-24-20,17.6,14.9,20.6,0.4,257,13.7,33.3,1013.7
08-25-20,17.5,13.6,21.5,0.1,246,12.2,31.5,1012.2
08-26-20,16.6,15.8,18,11.6,221,22.1,66.7,1003.5
08-27-20,16.3,12.9,18.6,1.5,277,21.9,57.4,1011.7
08-28-20,15.8,11.6,20.8,0,167,11.7,33.3,1005.6
08-29-20,17.5,14.5,21.4,0,228,11,31.5,1003.7
08-30-20,17.2,12.9,21.5,8.3,33,8.6,27.8,1007.7
08-31-20,16.4,14,19.7,5.1,329,10.9,27.8,1014
09-01-20,14.9,11.2,18.2,0,30,10.8,27.8,1017.9
09-02-20,13.4,10.6,16,2.7,304,10.5,25.9,1016.8
09-03-20,16.5,12.5,21.3,6.4,256,13,31.5,1018.3
09-04-20,18.1,15.6,21.9,5.8,235,13.6,31.5,1018.7
09-05-20,15.8,12.7,17.1,2.7,259,11.1,29.6,1016.3
09-06-20,13.8,10.5,17.8,0,266,12.4,35.2,1017.8
09-07-20,13.4,9.5,18,0,269,10.4,27.8,1022.1
09-08-20,15.9,10.3,20.7,0,233,14,37,1023.7
09-09-20,18.9,14.2,23.7,0,242,13,35.2,1020.2
09-10-20,15.7,12,18.5,0,302,12.4,29.6,1020
09-11-20,15.3,9.5,21.7,0,159,8,22.2,1018.2
09-12-20,17.2,9.5,25,0,230,12.4,37,1017.7
09-13-20,17.3,12.3,22.9,0,246,11.2,29.6,1024.4
09-14-20,19.9,12.2,28.5,0,170,8.7,22.2,1026.5
09-15-20,21.9,15,30.3,0,141,12.7,29.6,1021.6
09-16-20,20.9,15,27.6,0,284,12.1,35.2,1017.1
09-17-20,15.2,10.4,18.3,0,11,13.7,33.3,1026.5
09-18-20,12.1,5.9,18.9,0,80,8.7,20.4,1029.4
09-19-20,13.2,6.4,20.3,0,94,12.4,31.5,1024
09-20-20,14.3,8,21.5,0,84,12.8,29.6,1020
09-21-20,15.4,8.4,23.4,0,92,10,24.1,1017.8
09-22-20,17.4,11,25.4,0,152,9.7,24.1,1011.3
09-23-20,18.9,13.7,26,0,193,8.9,22.2,1005.3
09-24-20,16.8,13.3,21.1,0,208,12.1,31.5,1004.1
09-25-20,13.3,10.8,15.2,8.9,260,8.7,25.9,997.9
09-26-20,10.1,9.5,10.7,15.5,290,14.6,50,994.9
09-27-20,9.6,8,11.6,2.8,210,8.3,25.9,1003.1
09-28-20,12.1,8.3,17.5,0,154,9.4,25.9,1011.1
09-29-20,12.5,9.7,16.7,0,316,5.8,16.7,1015.8
09-30-20,12.8,8.4,18.3,0,355,6.1,14.8,1016.1
10-01-20,12.4,9.3,15.8,0,81,7.2,18.5,1008.1
10-02-20,14.2,11.6,17.6,0,106,15.7,38.9,1001.9
10-03-20,16.3,12.4,21.7,0,105,18.3,38.9,994.6
10-04-20,14.4,10,18.6,0,209,11.8,37,997.9
10-05-20,11.7,8.4,15.6,0.7,146,10.1,24.1,1004
10-06-20,11.8,9.2,14.5,1.3,194,16.7,37,1003.1
10-07-20,12.2,10.6,14.5,2.4,219,14.1,29.6,1006.7
10-08-20,12.2,9.9,14.4,3.2,215,16.8,40.8,1015.2
10-09-20,13.4,11.8,15.3,2.6,230,12.4,35.2,1016
10-10-20,10.7,6.6,12.4,0.5,239,11.5,33.3,1016.6
10-11-20,7.8,4.5,11.5,0,215,11.9,27.8,1017.6
10-12-20,7.8,5.1,11.5,0,248,9.7,24.1,1017.1
10-13-20,7.2,3.8,10.8,0,1,9.3,31.5,1015.4
10-14-20,9.2,8.5,9.8,14.4,359,22.7,53.7,1009.7
10-15-20,10.2,9.6,10.6,9,4,17.4,37,1014.6
10-16-20,9.1,7.9,10.3,1,10,13.2,27.8,1019.6
10-17-20,8.5,7.2,10.4,1.2,347,7.4,20.4,1018.6
10-18-20,8,6.4,9.6,0.5,269,17.2,42.6,1017.2
10-19-20,8.3,6.5,11.4,0,246,11.2,25.9,1021.7
10-20-20,8.6,4.7,12.5,1.1,164,14.8,33.3,1016.8
10-21-20,12.2,10.4,15.1,2.9,184,15.8,33.3,1009.8
10-22-20,15.3,12.3,19.5,0,214,17.2,37,1011.1
10-23-20,13.8,12.2,16.1,4.2,228,8.7,25.9,1011.6
10-24-20,12.9,10.4,16.3,1.3,232,12.7,33.3,1012.4
10-25-20,12.6,9.6,17.1,0,174,16.5,35.2,1008.5
10-26-20,11,9.6,12.6,1.8,195,9.7,24.1,1003.8
10-27-20,9.5,7.6,12.3,0,200,14.6,33.3,1008
10-28-20,10.1,8.1,13.1,0.4,191,16.8,33.3,1009.3
10-29-20,9.7,8,11.3,2.7,234,17.1,42.6,1012
10-30-20,10.3,7.1,13,12.7,233,14.4,35.2,1015.7
10-31-20,13.1,11.8,14.8,6.1,233,10.3,29.6,1020.5
11-01-20,12.3,10.5,13.9,0.6,184,14.2,29.6,1014
11-02-20,16,13.5,18.8,4.4,205,17.8,35.2,1009.8
11-03-20,12.2,7.6,16,0,247,12.9,31.5,1020.2
11-04-20,7.7,5.2,10.5,0,255,12.9,33.3,1028.9
11-05-20,7.1,3.8,9.9,0,257,13.6,31.5,1035.5
11-06-20,9.7,8.2,11.9,0,260,11,29.6,1033.7
11-07-20,8.1,3.4,12.7,0,158,10,22.2,1028.4
11-08-20,5.8,2,11.2,0,131,7.3,22.2,1025.6
11-09-20,6.2,4.8,7.9,0,106,13.5,25.9,1027.7
11-10-20,5.8,4.9,7.3,0,119,13.2,25.9,1029
11-11-20,5.4,3.8,7,0,140,8.8,20.4,1027
11-12-20,7.3,5.5,9.7,0,164,11.3,25.9,1021
11-13-20,7.6,5.5,10.8,0,202,11.1,22.2,1019.5
11-14-20,10.1,7.9,12.7,0,198,10.7,22.2,1018.1
11-15-20,10.6,8.5,14.7,0,174,16.9,35.2,1013.2
11-16-20,10,8.7,12.1,2.2,209,15.5,35.2,1012
11-17-20,9.8,8.4,10.8,1.6,225,15.4,31.5,1022.3
11-18-20,10.3,8.4,12.6,0,207,14.6,29.6,1023.5
11-19-20,9.1,5.5,11.2,0.2,243,21.5,53.7,1015.6
11-20-20,4,1.2,6,0,277,15.2,38.9,1029.2
11-21-20,3.7,0.7,6.4,0.1,212,16.5,38.9,1030.1
11-22-20,7.5,6.1,9,1.2,239,18.2,38.9,1022.1
11-23-20,6.7,5.1,8.3,0,264,16.4,42.6,1024.6
11-24-20,4.5,2.4,7.6,0,206,12.5,25.9,1025.3
11-25-20,2.5,1.1,4.8,0,180,11.1,22.2,1020.5
11-26-20,4.2,1,7.1,0,227,10.7,22.2,1020.3
11-27-20,5.1,2.7,6.3,0,350,5.4,16.7,1022.2
11-28-20,2.5,1.2,3.7,0,23,6.2,16.7,1025.3
11-29-20,2.9,1.5,4.7,0,330,11.4,25.9,1026.7
11-30-20,1.1,0.5,1.9,0,243,11,24.1,1023.9
12-01-20,1.4,0.2,3.2,0.3,151,12.1,27.8,1017.1
12-02-20,0.1,-1.7,2.2,0,119,11.3,25.9,1020.1
12-03-20,-1.1,-2.5,0.3,0,146,15.3,33.3,1007.4
12-04-20,0.5,-2.1,2.9,0,125,16.7,33.3,996.3
12-05-20,3.2,1.1,6.2,0,129,13,33.3,1000
12-06-20,6.7,3.9,9.4,0,105,17.7,37,1001.6
12-07-20,6.3,3.9,8.1,0,132,15.9,40.8,1002.1
12-08-20,4.6,3.1,6.4,0,101,12,27.8,1007.2
12-09-20,3.2,1.9,4.1,2.4,100,15.5,29.6,1010.5
12-10-20,0.4,-0.9,1.8,0,96,12.4,29.6,1010
12-11-20,0.2,-0.9,1.2,0,117,14.3,33.3,1004.3
12-12-20,1.8,1,2.9,0.1,107,14.1,31.5,1002
12-13-20,2.3,1.5,3.2,0,93,6.2,18.5,1010.7
12-14-20,4.7,2.4,7.2,0,161,13.3,29.6,1013.6
12-15-20,5.7,3.5,7.4,0.4,167,13.5,27.8,1013
12-16-20,6.8,5.5,7.8,0.3,192,8.7,25.9,1019.7
12-17-20,6,3.9,8.4,0.4,176,14.3,29.6,1020.5
12-18-20,5.5,3.7,8.1,0,199,11.7,24.1,1024.1
12-19-20,4.2,2.2,7.3,0,160,14.7,27.8,1020.9
12-20-20,4.4,2.8,6.6,0.4,164,13.7,27.8,1021.1
12-21-20,5.1,3.8,7.4,1.4,189,12.9,31.5,1021
