DATE,EURIBOR 3M
01-31-20,-0.3911
02-29-20,-0.4089
03-31-20,-0.4166
04-30-20,-0.2541
05-31-20,-0.2720
06-30-20,-0.3760
07-31-20,-0.4441
08-31-20,-0.4797
09-30-20,-0.4914
10-31-20,-0.5091
11-30-20,-0.5209
12-31-20,-0.5381
01-31-21,-0.5472
02-28-21,-0.5411
03-31-21,-0.5391
04-30-21,-0.5382
05-31-21,-0.5401
06-30-21,-0.5429
07-31-21,-0.5448
08-31-21,-0.5476
09-30-21,-0.5450
10-31-21,-0.5498
11-30-21,-0.5674
12-31-21,-0.5820
01-31-22,-0.5601
02-28-22,-0.5315
03-31-22,-0.4954
04-30-22,-0.4479
05-31-22,-0.3857
06-30-22,-0.2392
07-31-22,0.0366
08-31-22,0.3947
09-30-22,1.0109
10-31-22,1.4277
11-30-22,1.8252
12-31-22,2.0635
01-31-23,2.3449
02-28-23,2.6403
03-31-23,2.9106
04-30-23,3.1670
05-31-23,3.3664
06-30-23,3.5359
07-31-23,3.6718
08-31-23,3.7803
09-30-23,3.8800
10-31-23,3.9676
11-30-23,3.9716
12-31-23,3.9331
01-31-24,3.9253
02-29-24,3.9232
03-31-24,3.9224
04-30-24,3.8864
05-31-24,3.8137
06-30-24,3.7245
07-31-24,3.6848
08-31-24,3.5476
09-30-24,3.4337
10-31-24,3.1666
11-30-24,3.0068
12-31-24,2.8161