DATE,AGPI
2019-01,20462
2019-02,20666
2019-03,20648
2019-04,20620
2019-05,20371
2019-06,20290
2019-07,20228
2019-08,20288
2019-09,20518
2019-10,20737
2019-11,20900
2019-12,20825
2020-01,20835
2020-02,21056
2020-03,21126
2020-04,20850
2020-05,20436
2020-06,19964
2020-07,19777
2020-08,19895
2020-09,20189
2020-10,20692
2020-11,20973
2020-12,21088
2021-01,21455
2021-02,21801
2021-03,22036
2021-04,22207
2021-05,22358
2021-06,22466
2021-07,22759
2021-08,23006
2021-09,23543
2021-10,24256
2021-11,24782
2021-12,25409
2022-01,25982
2022-02,26689
2022-03,27024
2022-04,27167
2022-05,27211
2022-06,27185
2022-07,27084
2022-08,27254
2022-09,27458
2022-10,27801
2022-11,27473
2022-12,26786
2023-01,28986
2023-02,29315
2023-03,29333
2023-04,29229
2023-05,28980
2023-06,28548
2023-07,28258
2023-08,28239
2023-09,28026
2023-10,27890
2023-11,28243
2023-12,28383
2024-01,27398
2024-02,27340
2024-03,27044
2024-04,26752
2024-05,26608
2024-06,26656
2024-07,26626
2024-08,26792
2024-09,26480
2024-10,26484